disbursed_amount,asset_cost,branch_id,Employment.Type,DisbursalDate,State_ID,Driving_flag,Passport_flag,PERFORM_CNS.SCORE,PRI.NO.OF.ACCTS,PRI.CURRENT.BALANCE,SEC.NO.OF.ACCTS,PRIMARY.INSTAL.AMT,DELINQUENT.ACCTS.IN.LAST.SIX.MONTHS,CREDIT.HISTORY.LENGTH,NO.OF_INQUIRIES,loan_default,Age,marital status
59447,69418,130,Salaried,10/09/2018,6,0,0,300,7,702833,2,25695,0,8yrs 1mon,0,0,55,Married
51361,62456,130,Salaried,26/09/2018,6,0,0,0,0,0,0,0,0,0yrs 0mon,0,1,43,Married
48599,65782,130,Self employed,25/10/2018,6,0,0,0,0,0,0,0,0,0yrs 0mon,0,0,45,Married
61713,69468,130,Self employed,28/09/2018,6,0,0,0,0,0,0,0,0,0yrs 0mon,0,1,?,Married
51078,59115,130,Self employed,01/08/2018,6,0,0,0,0,0,0,0,0,0yrs 0mon,0,1,33,Married
42244,59981,130,Self employed,30/10/2018,6,0,0,0,0,0,0,0,0,0yrs 0mon,0,0,43,Married
47854,62188,130,Salaried,08/09/2018,6,0,0,0,0,0,0,0,0,0yrs 0mon,0,0,43,Married
48349,64217,130,Self employed,16/08/2018,6,0,0,0,0,0,0,0,0,0yrs 0mon,0,1,30,Married
37439,62188,130,Self employed,13/08/2018,6,0,0,763,2,0,0,1982,0,1yrs 0mon,0,0,48,Married
56493,93494,130,Self employed,19/09/2018,6,0,0,0,0,0,0,0,0,0yrs 0mon,0,1,49,Married
55013,65626,130,Self employed,23/10/2018,6,0,0,766,5,282177,0,3823,0,4yrs 10mon,0,0,56,Married
69597,96230,130,Salaried,24/08/2018,6,0,0,0,0,0,0,0,0,0yrs 0mon,0,0,?,Married
52303,62192,130,Salaried,11/08/2018,6,0,0,0,0,0,0,0,0,0yrs 0mon,0,0,48,Married
54159,62188,130,Self employed,14/08/2018,6,0,0,0,0,0,0,0,0,0yrs 0mon,0,0,48,Married
51553,66636,130,Self employed,25/10/2018,6,0,0,809,9,941783,0,465614,0,5yrs 6mon,0,0,44,Married
56413,65215,130,Salaried,15/10/2018,6,0,0,825,1,0,0,1427,0,0yrs 7mon,0,0,44,Married
63514,87798,130,Self employed,19/09/2018,6,0,0,17,1,84387,0,6400,0,0yrs 3mon,0,0,34,Married
47349,59115,130,Self employed,06/08/2018,6,0,0,825,2,5283,0,4060,0,3yrs 3mon,0,0,43,Married
60697,69498,130,Self employed,24/10/2018,6,0,0,505,1,543879,0,0,0,5yrs 6mon,0,1,37,Married
54759,64987,130,Self employed,09/10/2018,6,0,0,738,1,4165,0,0,0,0yrs 4mon,0,1,33,Married
57763,66373,130,Salaried,24/10/2018,6,0,0,825,1,0,0,0,0,1yrs 5mon,0,0,37,Married
47895,66636,130,Self employed,16/10/2018,6,0,0,300,3,1501756,0,55538,0,5yrs 11mon,0,0,44,Married
57571,69598,130,Self employed,30/09/2018,6,0,0,15,1,75000,0,0,0,0yrs 0mon,1,0,59,Married
50078,68463,130,Salaried,21/09/2018,6,0,0,0,0,0,0,0,0,0yrs 0mon,0,0,35,Married
54215,65368,130,Self employed,18/09/2018,6,0,0,0,0,0,0,0,0,0yrs 0mon,1,0,31,Married
49778,66636,130,Self employed,27/10/2018,6,0,0,0,0,0,0,0,0,0yrs 0mon,0,0,46,Married
57013,65368,130,Salaried,27/09/2018,6,0,0,707,4,51552,0,6933,0,0yrs 6mon,1,0,46,Married
47599,66373,130,Self employed,24/10/2018,6,0,0,0,0,0,0,0,0,0yrs 0mon,0,0,29,Married
48803,62188,130,Self employed,09/08/2018,6,0,0,0,0,0,0,0,0,0yrs 0mon,1,0,41,Married
68873,95422,130,Salaried,24/10/2018,6,0,0,17,1,11278,0,2940,0,0yrs 2mon,1,0,27,Married
44349,66636,130,Self employed,31/10/2018,6,0,0,626,8,18083,0,4460,0,2yrs 4mon,0,0,?,Married
48349,66636,130,Self employed,25/10/2018,6,0,0,738,3,8810,0,960,0,1yrs 1mon,0,0,54,Married
47199,66373,130,Self employed,25/10/2018,6,0,0,0,0,0,0,0,0,0yrs 0mon,0,1,36,Married
57453,68463,130,Salaried,26/09/2018,6,0,0,739,2,4124,0,4922,0,1yrs 9mon,0,0,60,Married
48803,68662,130,Salaried,26/10/2018,6,0,0,470,12,676009,0,7761,1,4yrs 0mon,0,0,33,Married
45349,62188,130,Self employed,08/08/2018,6,0,0,738,3,59125,0,3150,0,1yrs 11mon,1,1,51,Married
56270,67954,130,Salaried,24/10/2018,6,0,0,17,1,3750,0,1293,0,0yrs 2mon,0,0,45,Married
48349,58600,34,Self employed,10/08/2018,6,0,0,0,0,0,0,0,0,0yrs 0mon,0,0,34,Married
44599,65610,34,Self employed,21/10/2018,6,0,0,737,3,198174,0,0,0,2yrs 1mon,0,1,52,Married
37439,55702,34,Self employed,05/09/2018,6,0,0,662,4,40028,0,0,0,1yrs 7mon,0,0,43,Married
46145,64226,34,Salaried,21/10/2018,6,0,0,0,0,0,0,0,0,0yrs 0mon,0,0,33,Married
38689,65610,34,Self employed,20/10/2018,6,0,0,738,2,3930,0,3776,0,0yrs 6mon,1,0,30,Married
47349,66500,34,Salaried,05/10/2018,6,0,0,0,0,0,0,0,0,0yrs 0mon,0,0,34,Married
36439,61504,34,Self employed,29/10/2018,6,0,0,0,0,0,0,0,0,0yrs 0mon,0,0,35,Married
19574,60640,34,Self employed,24/08/2018,6,0,0,0,0,0,0,0,0,0yrs 0mon,0,0,30,Married
46599,64226,34,Salaried,15/10/2018,6,0,0,825,1,0,0,3428,0,0yrs 6mon,0,0,31,Married
43394,60640,34,Salaried,30/08/2018,6,0,0,0,0,0,0,0,0,0yrs 0mon,0,0,31,Married
46599,64226,34,Salaried,21/10/2018,6,0,0,0,0,0,0,0,0,0yrs 0mon,1,1,30,Married
47349,61845,34,Salaried,18/09/2018,6,0,0,819,2,524732,0,6039,0,3yrs 5mon,0,0,51,Married
32484,60640,34,Self employed,07/09/2018,6,0,0,392,1,6237,0,0,1,2yrs 10mon,0,0,45,Married
46599,64226,34,Salaried,21/10/2018,6,0,0,585,1,0,0,0,0,2yrs 1mon,0,1,44,Married
50553,66245,34,Salaried,31/10/2018,6,0,0,0,0,0,0,0,0,0yrs 0mon,0,0,30,Married
46599,64226,34,Self employed,20/10/2018,6,0,0,0,0,0,0,0,0,0yrs 0mon,0,0,57,Married
34939,63881,34,Self employed,09/08/2018,6,0,0,792,2,18665,0,0,0,3yrs 7mon,0,0,45,Married
48849,62165,34,Salaried,06/08/2018,6,0,1,0,0,0,0,0,0,0yrs 0mon,0,0,34,Married
44394,68309,34,Salaried,15/10/2018,6,0,0,796,4,372880,0,0,0,1yrs 3mon,0,0,51,Married
58459,72865,34,Salaried,21/10/2018,6,0,0,611,5,77309,0,0,0,6yrs 10mon,0,0,38,Married
50603,61865,34,Self employed,21/08/2018,6,0,0,586,5,0,0,4608,0,2yrs 6mon,0,0,33,Married
49803,65368,34,Self employed,11/09/2018,6,0,0,738,4,29664,0,0,0,1yrs 9mon,0,0,55,Married
51803,62165,34,Self employed,09/08/2018,6,0,0,615,3,0,0,123,1,0yrs 9mon,0,0,39,Married
49803,66683,34,Self employed,21/10/2018,6,0,0,824,2,64,0,0,0,13yrs 2mon,0,0,55,Married
58913,69742,34,Salaried,25/09/2018,6,0,0,825,1,0,0,1550,0,0yrs 6mon,1,0,32,Married
79866,106743,34,Self employed,26/10/2018,6,0,0,15,1,12990,0,0,0,0yrs 0mon,0,0,31,Married
45349,64987,34,Salaried,29/09/2018,6,0,0,763,1,2000,0,1749,0,0yrs 7mon,0,0,33,Married
54824,65668,34,Salaried,25/09/2018,6,0,0,825,3,0,0,1760,0,2yrs 1mon,0,0,44,Married
52303,66393,34,Salaried,15/10/2018,6,0,0,700,13,220016,0,1799,0,2yrs 11mon,1,1,32,Married
52078,63845,130,Salaried,15/10/2018,6,0,0,749,4,8033,0,1352,0,1yrs 1mon,0,0,32,Married
46349,63845,130,Self employed,23/10/2018,6,0,0,623,4,427126,0,5625,1,1yrs 6mon,1,0,40,Married
55013,63845,130,Self employed,17/10/2018,6,0,0,738,3,6889,0,2220,0,0yrs 11mon,0,0,31,Married
61083,72303,130,Self employed,24/09/2018,6,0,0,793,2,6178,1,5416,0,12yrs 3mon,0,0,45,Married
53308,71947,130,Self employed,04/09/2018,6,0,0,708,9,10825,0,0,0,1yrs 5mon,0,0,42,Married
47349,63845,130,Salaried,30/10/2018,6,0,0,0,0,0,0,0,0,0yrs 0mon,0,0,37,Married
62307,75247,130,Self employed,26/09/2018,6,0,0,734,6,0,0,0,0,4yrs 0mon,0,0,44,Married
68512,98205,130,Salaried,15/10/2018,6,0,0,597,4,926639,0,3761,0,0yrs 7mon,1,0,35,Married
50303,61307,130,Salaried,21/08/2018,6,0,0,836,1,0,0,0,0,2yrs 4mon,0,0,44,Married
49349,70418,130,Salaried,15/10/2018,6,0,0,0,0,0,0,0,0,0yrs 0mon,0,1,33,Married
54013,66367,130,Self employed,22/08/2018,6,0,0,825,2,0,0,1998,0,0yrs 9mon,0,0,58,Married
47349,63845,130,Self employed,22/10/2018,6,0,0,792,14,4754882,0,128740,0,6yrs 5mon,0,0,?,Married
55259,70458,130,Salaried,31/10/2018,6,0,0,324,2,3827,0,1656,1,1yrs 3mon,0,0,44,Married
48949,63757,130,Self employed,29/10/2018,6,0,0,0,0,0,0,0,0,0yrs 0mon,0,1,28,Married
61947,75281,74,Salaried,23/09/2018,4,0,0,661,4,27877,0,0,0,5yrs 2mon,2,0,41,Single
68882,92841,74,Self employed,03/10/2018,4,0,0,0,0,0,0,0,0,0yrs 0mon,0,0,41,Single
54259,76460,74,Salaried,06/10/2018,4,0,0,300,2,0,0,0,0,3yrs 5mon,0,0,42,Single
45099,68612,74,Self employed,22/10/2018,4,0,0,0,0,0,0,0,0,0yrs 0mon,0,1,60,Single
49349,77113,74,Self employed,28/09/2018,4,0,0,16,1,0,0,0,0,6yrs 11mon,0,0,57,Single
68132,93152,74,Self employed,23/10/2018,4,0,0,0,0,0,0,0,0,0yrs 0mon,0,1,34,Single
63197,89239,74,Self employed,22/10/2018,4,0,0,684,3,101655,0,950,1,2yrs 0mon,0,0,49,Single
59447,71258,74,Self employed,26/09/2018,4,0,0,593,1,0,0,0,0,2yrs 5mon,4,1,33,Single
44345,66651,74,Salaried,14/08/2018,4,0,0,18,1,0,0,0,0,1yrs 11mon,0,0,43,Single
49145,75384,74,Salaried,06/10/2018,4,0,0,0,0,0,0,0,0,0yrs 0mon,0,0,44,Single
57213,66651,74,Salaried,25/08/2018,4,0,0,825,1,0,0,2370,0,0yrs 7mon,0,1,41,Single
49828,68735,74,Self employed,12/10/2018,4,0,0,0,0,0,0,0,0,0yrs 0mon,0,0,60,Single
54509,89239,74,Self employed,31/10/2018,4,0,0,0,0,0,0,0,0,0yrs 0mon,0,0,40,Single
64832,89400,74,Self employed,13/10/2018,4,0,0,623,1,0,0,2386,0,0yrs 10mon,0,0,29,Single
47845,54580,74,Salaried,30/08/2018,4,0,0,796,3,0,0,3564,1,2yrs 3mon,0,1,54,Single
58263,68780,74,Self employed,21/10/2018,4,0,0,0,0,0,0,0,0,0yrs 0mon,0,1,?,Single
54303,75706,74,Self employed,30/09/2018,4,1,0,0,0,0,0,0,0,0yrs 0mon,0,0,30,Single
57853,73302,74,Self employed,10/09/2018,4,0,0,609,34,77499,0,34658,0,2yrs 7mon,5,1,49,Single
52328,73001,74,Salaried,21/10/2018,4,0,0,300,4,987991,0,0,1,1yrs 10mon,1,0,40,Single
52803,66651,74,Salaried,18/08/2018,4,0,0,763,3,0,0,1599,0,0yrs 11mon,0,0,49,Single
74329,80380,74,Salaried,17/10/2018,4,0,0,574,25,271986,0,153320,2,4yrs 0mon,0,0,53,Single
57263,73001,74,Salaried,29/10/2018,4,0,0,825,16,48420,0,20692,0,1yrs 5mon,0,0,49,Single
53378,62592,74,Self employed,10/08/2018,4,0,0,676,8,20136,0,5545,1,1yrs 6mon,0,0,47,Single
55009,68612,74,Salaried,20/10/2018,4,0,0,601,2,135000,0,0,1,2yrs 6mon,0,0,35,Single
59197,68612,74,Self employed,27/10/2018,4,0,0,595,9,18421,0,14559,0,2yrs 11mon,1,0,44,Single
57259,92831,74,Self employed,26/09/2018,4,0,0,777,10,2309130,0,26166,0,5yrs 8mon,0,0,44,Single
53453,60526,74,Salaried,30/08/2018,4,0,0,0,0,0,0,0,0,0yrs 0mon,0,0,60,Single
61247,73302,74,Salaried,03/10/2018,4,0,0,15,2,352950,0,0,0,0yrs 2mon,0,0,36,Single
62197,72253,74,Salaried,24/10/2018,4,0,0,708,5,44676,0,2183,0,2yrs 1mon,0,0,46,Single
49145,60593,74,Self employed,22/09/2018,4,0,0,0,0,0,0,0,0,0yrs 0mon,0,0,30,Single
66132,80400,74,Salaried,16/10/2018,4,0,0,0,0,0,0,0,0,0yrs 0mon,0,0,41,Single
57013,66651,74,Self employed,27/08/2018,4,0,0,726,49,245264,0,0,0,1yrs 2mon,0,0,45,Single
59197,68612,74,Self employed,19/10/2018,4,0,0,0,0,0,0,0,0,0yrs 0mon,0,0,59,Single
58459,88814,74,Salaried,24/08/2018,4,0,0,0,0,0,0,0,0,0yrs 0mon,0,0,30,Single
63447,77472,74,Salaried,18/08/2018,4,0,0,0,0,0,0,0,0,0yrs 0mon,0,0,44,Single
55759,81790,74,Salaried,11/09/2018,4,0,0,0,0,0,0,0,0,0yrs 0mon,0,0,52,Single
66419,80408,74,Salaried,29/10/2018,4,0,0,17,1,5350,0,0,0,1yrs 8mon,0,0,36,Single
27981,64122,11,Salaried,19/09/2018,3,0,0,825,1,0,0,6904,0,0yrs 8mon,0,0,41,Single
39134,74886,11,Self employed,24/10/2018,3,0,0,710,3,264589,0,0,0,10yrs 0mon,0,0,46,Single
45389,66674,11,Self employed,03/09/2018,3,1,0,708,4,6247,0,0,0,1yrs 1mon,0,0,?,Single
55013,76110,11,Self employed,11/10/2018,3,0,0,0,0,0,0,0,0,0yrs 0mon,0,0,42,Single
17850,97311,11,,10/09/2018,3,0,0,0,0,0,0,0,0,0yrs 0mon,0,0,27,Single
28864,65509,11,Salaried,28/08/2018,3,1,0,821,2,8387,0,0,0,1yrs 9mon,0,0,54,Single
42969,73466,11,Self employed,31/10/2018,3,0,0,0,0,0,0,0,0,0yrs 0mon,0,0,60,Single
45264,75344,11,Self employed,24/08/2018,3,0,0,593,1,0,0,0,0,1yrs 10mon,0,0,35,Single
51803,71546,11,Salaried,18/08/2018,3,0,0,0,0,0,0,0,0,0yrs 0mon,0,0,37,Single
13990,80776,11,Self employed,18/08/2018,3,0,0,0,0,0,0,0,0,0yrs 0mon,0,0,44,Single
25293,75001,11,Self employed,03/10/2018,3,0,0,0,0,0,0,0,0,0yrs 0mon,0,0,36,Single
50018,68674,11,Salaried,25/08/2018,3,0,0,17,1,64595,0,0,0,0yrs 2mon,0,1,36,Single
67657,99486,11,Self employed,24/10/2018,3,0,0,0,0,0,0,0,0,0yrs 0mon,0,0,51,Single
39554,64767,11,Salaried,23/08/2018,3,0,0,762,3,1730,0,0,0,1yrs 2mon,0,0,32,Single
44909,80252,11,Self employed,15/10/2018,3,0,0,698,4,10695,0,0,0,3yrs 4mon,0,1,35,Single
39365,64122,11,Self employed,03/10/2018,3,0,0,590,2,34510,0,0,0,5yrs 6mon,0,1,53,Single
47049,102800,5,Salaried,03/08/2018,9,0,0,488,6,68055,0,5438,1,1yrs 3mon,0,0,33,Married
64369,86705,5,Salaried,07/08/2018,9,1,0,0,0,0,0,0,0,0yrs 0mon,0,1,36,Married
57959,67667,5,Salaried,03/08/2018,9,0,0,608,1,0,0,4321,0,4yrs 1mon,0,0,52,Married
49349,66530,20,Salaried,15/09/2018,5,1,0,0,0,0,0,0,0,0yrs 0mon,0,0,34,Single
50078,62551,20,Self employed,05/09/2018,5,0,0,738,1,9771,0,1600,0,0yrs 10mon,0,0,34,Single
43394,65488,20,Self employed,29/09/2018,5,0,0,825,2,29952,0,4619,0,1yrs 0mon,0,0,45,Single
71417,103842,20,Self employed,26/10/2018,5,0,0,0,0,0,0,0,0,0yrs 0mon,0,0,30,Single
59513,72892,20,Salaried,18/10/2018,5,0,0,738,3,6121,0,0,0,0yrs 9mon,0,1,45,Single
59963,69013,20,Self employed,31/10/2018,5,0,0,398,7,2182747,0,67,1,1yrs 11mon,1,0,33,Single
67382,97824,20,Salaried,23/08/2018,5,0,0,0,0,0,0,0,0,0yrs 0mon,0,1,41,Single
106648,160108,20,Self employed,10/08/2018,5,0,0,308,3,42523,0,4298,2,1yrs 11mon,0,0,35,Single
45349,63455,20,Self employed,21/08/2018,5,0,0,0,0,0,0,0,0,0yrs 0mon,0,1,52,Single
72717,97824,20,Self employed,31/08/2018,5,0,0,17,1,74900,0,0,0,0yrs 0mon,0,1,53,Single
45300,73893,20,Self employed,23/09/2018,5,0,0,0,0,0,0,0,0,0yrs 0mon,0,0,39,Single
52553,72723,20,Self employed,30/10/2018,5,0,0,0,0,0,0,0,0,0yrs 0mon,0,0,?,Single
18619,66434,20,Self employed,27/09/2018,5,0,0,0,0,0,0,0,0,0yrs 0mon,0,0,47,Single
42394,54432,20,Salaried,14/08/2018,5,0,0,17,4,594220,0,240100,1,4yrs 1mon,0,0,?,Single
53303,80049,20,Self employed,31/10/2018,5,0,0,738,2,6081,0,0,0,0yrs 5mon,0,0,45,Single
34439,62011,20,Self employed,29/10/2018,5,0,0,0,0,0,0,0,0,0yrs 0mon,0,0,59,Single
49103,67761,20,Salaried,07/08/2018,5,0,0,634,6,133610,0,111860,0,4yrs 4mon,0,0,39,Single
56259,85897,20,Salaried,06/10/2018,5,0,0,300,9,1152699,0,35269,0,11yrs 4mon,0,0,52,Single
105208,166206,20,Self employed,27/10/2018,5,0,0,0,0,0,0,0,0,0yrs 0mon,1,0,43,Single
37439,59732,20,Self employed,31/08/2018,5,0,0,0,0,0,0,0,0,0yrs 0mon,0,0,53,Single
49349,60309,20,Self employed,27/09/2018,5,0,0,15,1,24810,0,0,0,0yrs 1mon,0,0,40,Single
47349,65488,20,Self employed,28/09/2018,5,0,0,0,0,0,0,0,0,0yrs 0mon,0,0,39,Single
43894,74694,20,Salaried,11/09/2018,5,0,0,0,0,0,0,0,0,0yrs 0mon,0,0,36,Single
50017,83305,20,Self employed,24/08/2018,5,0,0,680,1,11788,0,0,0,1yrs 6mon,0,0,50,Single
47849,73981,20,Salaried,18/10/2018,5,0,0,16,3,13656,0,3807,0,3yrs 7mon,0,1,46,Single
49578,66530,20,Self employed,29/09/2018,5,0,0,0,0,0,0,0,0,0yrs 0mon,0,0,40,Single
45849,59635,20,Self employed,21/08/2018,5,0,0,300,4,58278,0,7050,0,1yrs 11mon,2,0,?,Single
54303,73537,20,Self employed,11/10/2018,5,0,0,0,0,0,0,0,0,0yrs 0mon,0,1,28,Single
54078,69013,20,Self employed,31/10/2018,5,0,0,0,0,0,0,0,0,0yrs 0mon,0,1,44,Single
42644,69013,20,Self employed,26/10/2018,5,0,0,642,5,178118,0,2679,0,7yrs 1mon,0,0,55,Single
37639,63455,20,Self employed,04/08/2018,5,0,0,655,2,16979,0,0,0,5yrs 0mon,0,0,43,Single
80386,126082,20,Salaried,23/10/2018,5,0,0,0,0,0,0,0,0,0yrs 0mon,1,0,28,Single
55013,63455,20,Salaried,16/08/2018,5,0,0,0,0,0,0,0,0,0yrs 0mon,0,0,33,Single
38943,68528,20,Self employed,21/09/2018,5,0,0,0,0,0,0,0,0,0yrs 0mon,0,1,31,Single
50303,67677,20,Self employed,16/08/2018,5,0,0,0,0,0,0,0,0,0yrs 0mon,0,1,34,Single
42895,63871,20,Self employed,27/10/2018,5,0,0,392,1,141637,0,0,0,2yrs 3mon,1,1,40,Single
61463,70764,20,Self employed,31/10/2018,5,1,0,615,6,515442,0,40000,1,2yrs 6mon,1,0,35,Single
62213,99663,20,Salaried,24/10/2018,5,0,0,698,8,719657,0,36553,0,3yrs 1mon,0,0,39,Single
54303,71063,20,Salaried,28/10/2018,5,0,0,0,0,0,0,0,0,0yrs 0mon,0,0,33,Single
42503,69229,20,Self employed,28/10/2018,5,0,0,0,0,0,0,0,0,0yrs 0mon,0,0,32,Single
41094,60223,20,Self employed,30/10/2018,5,0,0,0,0,0,0,0,0,0yrs 0mon,0,0,34,Single
66882,85983,20,Self employed,25/10/2018,5,0,0,0,0,0,0,0,0,0yrs 0mon,0,0,39,Single
57075,69969,20,Salaried,07/08/2018,5,0,0,0,0,0,0,0,0,0yrs 0mon,0,0,42,Single
52328,69013,20,Self employed,31/10/2018,5,0,0,0,0,0,0,0,0,0yrs 0mon,0,0,30,Single
53078,69969,20,Self employed,06/08/2018,5,0,0,738,2,33817,0,2458,0,0yrs 8mon,4,0,42,Single
64132,88555,20,Self employed,26/10/2018,5,0,0,0,0,0,0,0,0,0yrs 0mon,0,1,51,Single
31984,70309,20,Self employed,18/09/2018,5,0,0,738,9,49539,0,12054,0,1yrs 10mon,0,0,42,Single
35439,64027,20,Self employed,29/08/2018,5,0,0,17,1,44347,0,0,0,0yrs 4mon,0,0,55,Single
31184,40993,20,Self employed,31/08/2018,5,0,0,0,0,0,0,0,0,0yrs 0mon,0,0,47,Single
53303,73967,20,Self employed,08/10/2018,5,0,0,300,12,174262,0,2147,0,2yrs 1mon,0,0,51,Single
34939,59306,20,Self employed,17/08/2018,5,0,0,0,0,0,0,0,0,0yrs 0mon,0,1,46,Single
46349,70442,20,Self employed,06/08/2018,5,0,0,706,5,168768,0,14137,0,8yrs 3mon,0,0,?,Single
54013,72016,20,Self employed,25/10/2018,5,0,0,367,2,349418,0,22289,1,0yrs 9mon,0,1,55,Single
68782,97173,20,Self employed,12/09/2018,5,0,0,0,0,0,0,0,0,0yrs 0mon,0,0,?,Single
44394,73667,20,Self employed,07/09/2018,5,0,0,836,5,0,0,2595,0,2yrs 5mon,0,0,44,Single
42394,72165,20,Self employed,22/10/2018,5,0,0,0,0,0,0,0,0,0yrs 0mon,0,0,36,Single
68169,97130,20,Salaried,23/10/2018,5,0,0,0,0,0,0,0,0,0yrs 0mon,0,0,29,Single
47749,66513,20,Self employed,29/10/2018,5,0,0,369,6,919064,0,29697,0,8yrs 7mon,0,0,46,Single
54013,62526,20,Salaried,07/09/2018,5,0,0,679,23,9215,0,0,1,0yrs 7mon,0,1,43,Single
50303,67986,20,Self employed,12/09/2018,5,0,0,0,0,0,0,0,0,0yrs 0mon,0,0,60,Single
33984,43608,20,Self employed,10/09/2018,5,0,0,15,1,35000,0,1710,0,0yrs 1mon,0,0,51,Single
32484,72016,20,Salaried,25/10/2018,5,0,0,0,0,0,0,0,0,0yrs 0mon,0,0,32,Single
